video_source,reader_sleep_seconds,reader_flush_proportion,downscale_factor,dilate_kernel_size,movement_threshold,persist_factor,num_opencv_threads,start_datetime,input_duration_seconds,processing_duration_seconds,input_filesize_MB,output_filesize_MB
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,16,41,40,0.65,10,2022-12-12 20:52:38.411141,600.0,240.13,1179.422966,53.330218
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,16,63,40,0.75,10,2022-12-12 20:40:28.033166,600.0,240.03,1179.422966,55.51242
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,1,63,50,0.75,10,2022-12-13 03:53:55.990695,600.066667,605.22,1074.495404,82.275608
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,16,41,40,0.75,10,2022-12-12 13:14:27.738835,600.133333,240.04,1024.980056,55.691632
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,16,41,40,0.75,10,2022-12-12 20:56:38.559556,600.0,240.03,1179.422966,54.39469
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,1,63,40,0.65,10,2022-12-12 19:14:08.372883,600.0,600.09,1179.422966,82.11976
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,1,63,40,0.75,10,2022-12-12 19:24:08.534115,600.0,665.61,1179.422966,114.56542
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,16,63,50,0.75,10,2022-12-12 15:02:58.341933,598.366667,245.03,987.957332,55.350432
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,16,63,50,0.65,10,2022-12-12 16:54:32.666710,600.133333,240.04,1296.294376,51.845674
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,16,41,50,0.65,10,2022-12-13 05:06:49.109911,600.066667,240.13,1074.495404,52.274452
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,16,63,50,0.65,10,2022-12-12 18:50:07.315382,600.4,240.03,1319.24134,52.416548
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,1,63,40,0.75,10,2022-12-12 15:33:59.707335,600.133333,680.08,1296.294376,136.090324
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,16,41,50,0.75,10,2022-12-12 17:14:39.095728,600.133333,240.05,1296.294376,51.745498
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,16,63,50,0.65,10,2022-12-13 04:50:18.844670,600.066667,245.04,1074.495404,52.6381
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,16,41,40,0.75,10,2022-12-12 23:10:35.010605,600.1,260.04,1013.734438,126.72822
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,16,63,50,0.75,10,2022-12-12 13:06:27.537186,600.133333,240.04,1024.980056,54.738142
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,16,63,40,0.75,10,2022-12-12 14:54:47.869623,598.366667,250.56,987.957332,58.286034
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,1,41,50,0.75,10,2022-12-13 00:40:47.501921,600.133333,676.18,1320.890072,118.543698
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,16,63,50,0.65,10,2022-12-13 01:00:34.053305,600.133333,245.04,1320.890072,55.845042
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,16,63,50,0.75,10,2022-12-12 16:58:32.787171,600.133333,245.43,1296.294376,51.907354
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,1,41,50,0.65,10,2022-12-12 22:26:06.957471,600.1,671.14,1013.734438,240.579612
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,16,63,40,0.75,10,2022-12-13 00:56:18.957525,600.133333,255.04,1320.890072,60.671208
